Case,Rep,Type
A1,224,P
A1,21,R
A2,155,P
A2,28,R
A3,165,P
A3,28,R
A4,100,P
A4,28,R
A5,190,P
A5,211,R
A6,231,P
A6,208,R
A7,198,P
A7,150,R
A8,100,P
A8,28,R
A9,100,P
A9,28,R
A10,151,P
A10,28,R
A11,100,P
A11,27,R
A12,135,P
A12,195,R
A13,100,P
A13,16,R
A14,251,P
A14,19,R
A15,236,P
A15,28,R
A16,126,P
A16,28,R
A17,27,P
A17,122,R
A18,4,P
A18,232,R
A19,21,P
A19,130,R
A20,165,P
A20,28,R
A21,21,P
A21,202,R
A22,100,P
A22,28,R
A23,23,P
A23,343,R
A24,126,P
A24,27,R
A25,28,P
A25,202,R
C1,220,P
C1,174,R
C2,205,P
C2,134,R
C3,184,P
C3,208,R
C4,28,P
C4,126,R
C5,1,P
C5,106,R
C6,159,P
C6,147,R
C7,126,P
C7,28,R
C8,100,P
C8,28,R
C9,213,P
C9,28,R
C10,215,P
C10,28,R
C11,126,P
C11,28,R
C12,9,P
C12,3,R
C13,151,P
C13,182,R
C14,182,P
C14,249,R
C15,362,P
C15,140,R
C16,100,P
C16,28,R
C17,215,P
C17,19,R
C18,126,P
C18,28,R
C19,100,P
C19,28,R
C20,19,P
C20,215,R
C21,145,P
C21,27,R
C22,206,P
C22,215,R
C23,19,P
C23,8,R
C24,126,P
C24,28,R
C25,100,P
C25,28,R
